Title,ParkType,Bookmark,
Annual Park Ranking Report for Recreation Visits in: 2008,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Blue Ridge PKWY,1,"16,309,307",5.93%
Golden Gate NRA,2,"14,554,750",5.30%
Gateway NRA,3,"9,431,021",3.43%
Great Smoky Mountains NP,4,"9,044,010",3.29%
Lake Mead NRA,5,"7,601,863",2.77%
George Washington MEM PKWY,6,"7,009,630",2.55%
Natchez Trace PKWY,7,"5,747,235",2.09%
Delaware Water Gap NRA,8,"5,127,074",1.87%
Lincoln Memorial,9,"4,678,861",1.70%
Cape Cod NS,10,"4,644,235",1.69%
Grand Canyon NP,11,"4,425,314",1.61%
Vietnam Veterans MEM,12,"4,243,573",1.54%
World War II Memorial,13,"4,153,749",1.51%
San Francisco Maritime NHP,14,"4,086,211",1.49%
Independence NHP,15,"4,076,638",1.48%
Castle Clinton NM,16,"3,727,030",1.36%
Korean War Veterans Memorial,17,"3,654,976",1.33%
Statue of Liberty NM,18,"3,555,244",1.29%
Yosemite NP,19,"3,431,514",1.25%
Colonial NHP,20,"3,332,039",1.21%
Chesapeake & Ohio Canal NHP,21,"3,111,468",1.13%
Olympic NP,22,"3,081,451",1.12%
Yellowstone NP,23,"3,066,580",1.12%
Cuyahoga Valley NP,24,"2,828,233",1.03%
Chattahoochee River NRA,25,"2,826,171",1.03%
Rocky Mountain NP,26,"2,757,390",1.00%
Zion NP,27,"2,690,154",0.98%
Franklin Delano Roosevelt MEM,28,"2,622,806",0.95%
National Capital Parks Central,29,"2,559,653",0.93%
Grand Teton NP,30,"2,485,987",0.90%
Thomas Jefferson MEM,31,"2,363,263",0.86%
Point Reyes NS,32,"2,248,203",0.82%
Boston NHP,33,"2,232,495",0.81%
Cape Hatteras NS,34,"2,146,392",0.78%
Rock Creek Park,35,"2,076,466",0.76%
Acadia NP,36,"2,075,857",0.76%
Gulf Islands NS,37,"2,054,201",0.75%
Assateague Island NS,38,"2,011,438",0.73%
Amistad NRA,39,"1,980,717",0.72%
Jefferson NEM,40,"1,954,810",0.71%
Glen Canyon NRA,41,"1,947,507",0.71%
Indiana Dunes NL,42,"1,833,596",0.67%
Glacier NP,43,"1,808,027",0.66%
Mount Rushmore NMEM,44,"1,789,328",0.65%
Gettysburg NMP,45,"1,455,951",0.53%
Kennesaw Mountain NBP,46,"1,415,917",0.52%
World War II Valor in the Pacific NM,47,"1,407,879",0.51%
Buffalo NR,48,"1,405,802",0.51%
Joshua Tree NP,49,"1,392,446",0.51%
Fort Point NHS,50,"1,390,187",0.51%
Lake Roosevelt NRA,51,"1,337,024",0.49%
San Antonio Missions NHP,52,"1,303,212",0.47%
National Capital Parks East,53,"1,296,990",0.47%
Valley Forge NHP,54,"1,275,871",0.46%
Hawaii Volcanoes NP,55,"1,270,538",0.46%
Ozark NSR,56,"1,243,507",0.45%
Hot Springs NP,57,"1,238,147",0.45%
Chickasaw NRA,58,"1,230,609",0.45%
New River Gorge NR,59,"1,212,854",0.44%
Haleakala NP,60,"1,185,068",0.43%
President's Park,61,"1,178,845",0.43%
Mount Rainier NP,62,"1,163,227",0.42%
San Juan NHS,63,"1,135,577",0.41%
"John D. Rockefeller, Jr. MEM PKWY",64,"1,099,060",0.40%
Shenandoah NP,65,"1,075,878",0.39%
Minute Man NHP,66,"1,067,578",0.39%
Bryce Canyon NP,67,"1,043,321",0.38%
Timucuan EHP,68,"1,038,888",0.38%
Sleeping Bear Dunes NL,69,"1,008,135",0.37%
Curecanti NRA,70,"1,007,444",0.37%
Canaveral NS,71,"994,453",0.36%
Chickamauga & Chattanooga NMP,72,"993,535",0.36%
Klondike Gold Rush NHP Alaska,73,"935,940",0.34%
Sequoia NP,74,"930,011",0.34%
Arches NP,75,"928,795",0.34%
Fort Vancouver NHS,76,"894,417",0.33%
Lake Meredith NRA,77,"875,280",0.32%
Death Valley NP,78,"871,938",0.32%
Salem Maritime NHS,79,"856,935",0.31%
Badlands NP,80,"845,734",0.31%
Cumberland Gap NHP,81,"843,893",0.31%
Muir Woods NM,82,"838,292",0.30%
Canyon de Chelly NM,83,"835,860",0.30%
Everglades NP,84,"822,118",0.30%
Big Cypress NPRES,85,"813,790",0.30%
Fort Matanzas NM,86,"813,131",0.30%
Fort Sumter NM,87,"744,971",0.27%
Cabrillo NM,88,"705,331",0.26%
Saguaro NP,89,"699,137",0.25%
Biscayne NP,90,"686,062",0.25%
Whiskeytown NRA,91,"676,281",0.25%
Big South Fork NRRA,92,"675,928",0.25%
Washington Monument,93,"671,031",0.24%
"Martin Luther King, Jr. NHS",94,"658,873",0.24%
Padre Island NS,95,"635,925",0.23%
Castillo de San Marcos NM,96,"618,769",0.23%
Mojave NPRES,97,"618,285",0.22%
Capitol Reef NP,98,"604,811",0.22%
Fire Island NS,99,"604,577",0.22%
Montezuma Castle NM,100,"603,755",0.22%
Fort McHenry NM & HS,101,"598,050",0.22%
Manassas NBP,102,"594,992",0.22%
Kings Canyon NP,103,"574,870",0.21%
Lowell NHP,104,"574,410",0.21%
Wind Cave NP,105,"573,433",0.21%
Vicksburg NMP,106,"555,109",0.20%
Mesa Verde NP,107,"551,446",0.20%
Petrified Forest NP,108,"543,714",0.20%
Cedar Breaks NM,109,"538,016",0.20%
Wright Brothers NMEM,110,"527,721",0.19%
Saint Croix NSR,111,"523,595",0.19%
White House,112,"519,011",0.19%
Arlington House The R.E. Lee MEM,113,"518,515",0.19%
Theodore Roosevelt NP,114,"516,804",0.19%
Wolf Trap NP for the Performing Arts,115,"487,197",0.18%
Cape Lookout NS,116,"486,899",0.18%
Fort Washington Park,117,"484,202",0.18%
Fredericksburg & Spotsylvania NMP,118,"473,841",0.17%
Virgin Islands NP,119,"469,034",0.17%
Catoctin Mountain Park,120,"466,926",0.17%
Mammoth Cave NP,121,"446,174",0.16%
White Sands NM,122,"438,511",0.16%
Canyonlands NP,123,"436,715",0.16%
Denali NP & PRES,124,"432,309",0.16%
Santa Monica Mountains NRA,125,"419,374",0.15%
Glacier Bay NP & PRES,126,"418,911",0.15%
Crater Lake NP,127,"415,686",0.15%
Pu'uhonua o Honaunau NHP,128,"414,667",0.15%
LBJ Memorial Grove on the Potomac,129,"411,164",0.15%
Carlsbad Caverns NP,130,"400,381",0.15%
Pictured Rocks NL,131,"398,774",0.15%
Redwood NP,132,"396,899",0.14%
Colorado NM,133,"390,972",0.14%
Lassen Volcanic NP,134,"377,361",0.14%
Big Bend NP,135,"362,512",0.13%
Vanderbilt Mansion NHS,136,"360,334",0.13%
Shiloh NMP,137,"357,340",0.13%
Guilford Courthouse NMP,138,"354,077",0.13%
Fort Pulaski NM,139,"352,636",0.13%
Antietam NB,140,"352,548",0.13%
Prince William Forest Park,141,"345,361",0.13%
Organ Pipe Cactus NM,142,"340,290",0.12%
Jean Lafitte NHP & PRES,143,"339,821",0.12%
Devils Tower NM,144,"336,303",0.12%
Ford's Theatre NHS,145,"335,865",0.12%
Lincoln Home NHS,146,"335,473",0.12%
Channel Islands NP,147,"332,177",0.12%
Piscataway Park,148,"324,394",0.12%
Fort Raleigh NHS,149,"311,751",0.11%
Upper Delaware S&RR,150,"284,347",0.10%
Little Bighorn Battlefield NM,151,"282,233",0.10%
New Bedford Whaling NHP,152,"281,512",0.10%
Boston African American NHS,153,"280,279",0.10%
Fort Caroline NMEM,154,"279,984",0.10%
