Title,ParkType,Bookmark,
Morristown NHP,155,"277,203",0.10%
Great Sand Dunes NP & PRES,156,"273,903",0.10%
Kenai Fjords NP,157,"272,190",0.10%
De Soto NMEM,158,"265,944",0.10%
San Juan Island NHP,159,"255,492",0.09%
Kings Mountain NMP,160,"254,997",0.09%
Harpers Ferry NHP,161,"254,162",0.09%
Ross Lake NRA,162,"253,333",0.09%
Fort Frederica NM,163,"248,093",0.09%
Adams NHP,164,"241,536",0.09%
Sitka NHP,165,"241,407",0.09%
Pennsylvania Avenue NHS,166,"239,785",0.09%
Wupatki NM,167,"239,157",0.09%
Cowpens NB,168,"235,176",0.09%
Natchez NHP,169,"232,470",0.08%
Lewis & Clark NHP,170,"230,057",0.08%
Craters of the Moon NM,171,"227,179",0.08%
Voyageurs NP,172,"221,585",0.08%
Federal Hall NMEM,173,"212,564",0.08%
Sunset Crater Volcano NM,174,"209,399",0.08%
Fort Donelson NB,175,"208,631",0.08%
Bandelier NM,176,"207,656",0.08%
Nez Perce NHP,177,"207,250",0.08%
Governors Island NM,178,"205,010",0.07%
Dinosaur NM,179,"201,724",0.07%
Abraham Lincoln Birthplace NHP,180,"200,404",0.07%
Stones River NB,181,"198,918",0.07%
Chamizal NMEM,182,"197,767",0.07%
Little River Canyon NPRES,183,"197,693",0.07%
Obed W&SR,184,"192,154",0.07%
War in the Pacific NHP,185,"187,005",0.07%
Appomattox Court House NHP,186,"178,748",0.07%
Bighorn Canyon NRA,187,"178,533",0.06%
Pinnacles NP,188,"166,988",0.06%
Greenbelt Park,189,"164,103",0.06%
Guadalupe Mountains NP,190,"163,709",0.06%
Apostle Islands NL,191,"162,871",0.06%
Missouri NRR,192,"162,086",0.06%
Black Canyon of the Gunnison NP,193,"160,185",0.06%
Andersonville NHS,194,"159,592",0.06%
Perry's Victory & Intl. Peace MEM,195,"157,337",0.06%
Petersburg NB,196,"154,003",0.06%
Lincoln Boyhood NMEM,197,"147,123",0.05%
Herbert Hoover NHS,198,"142,656",0.05%
Flight 93 NMEM,199,"136,091",0.05%
Johnstown Flood NMEM,200,"135,308",0.05%
Devils Postpile NM,201,"134,005",0.05%
Fort Necessity NB,202,"127,672",0.05%
Home of Franklin D. Roosevelt NHS,203,"124,073",0.05%
Timpanogos Cave NM,204,"123,682",0.04%
Richmond NBP,205,"120,823",0.04%
Wilson's Creek NB,206,"120,670",0.04%
Lava Beds NM,207,"120,076",0.04%
Petroglyph NM,208,"116,620",0.04%
El Malpais NM,209,"115,066",0.04%
Allegheny Portage Railroad NHS,210,"113,991",0.04%
George Rogers Clark NHP,211,"113,688",0.04%
John Day Fossil Beds NM,212,"112,578",0.04%
Gauley River NRA,213,"112,262",0.04%
Scotts Bluff NM,214,"111,849",0.04%
Theodore Roosevelt Island,215,"109,156",0.04%
Christiansted NHS,216,"105,136",0.04%
Congaree NP,217,"104,913",0.04%
Kaloko Honokohau NHP,218,"104,835",0.04%
Tuzigoot NM,219,"102,811",0.04%
Ocmulgee NM,220,"102,631",0.04%
Walnut Canyon NM,221,"101,833",0.04%
Jewel Cave NM,222,"100,481",0.04%
George Washington Birthplace NM,223,"99,975",0.04%
Rainbow Bridge NM,224,"95,567",0.03%
Big Thicket NPRES,225,"93,634",0.03%
Lyndon B. Johnson NHP,226,"93,204",0.03%
Pu'ukohola Heiau NHS,227,"92,584",0.03%
Natural Bridges NM,228,"91,838",0.03%
General Grant NMEM,229,"91,436",0.03%
Coronado NMEM,230,"91,028",0.03%
Saratoga NHP,231,"88,834",0.03%
City of Rocks NRES,232,"85,893",0.03%
Cumberland Island NS,233,"82,812",0.03%
Jimmy Carter NHS,234,"82,417",0.03%
Pipestone NM,235,"80,137",0.03%
Manzanar NHS,236,"78,468",0.03%
Grand Portage NM,237,"77,323",0.03%
Fort Smith NHS,238,"75,174",0.03%
Navajo NM,239,"74,143",0.03%
Oregon Caves NM,240,"73,774",0.03%
Casa Grande Ruins NM,241,"73,763",0.03%
Homestead NM of America,242,"71,314",0.03%
Fort Stanwix NM,243,"71,263",0.03%
Steamtown NHS,244,"71,123",0.03%
Eisenhower NHS,245,"70,757",0.03%
Niobrara NSR,246,"70,270",0.03%
Andrew Johnson NHS,247,"69,433",0.03%
Great Basin NP,248,"69,235",0.03%
Effigy Mounds NM,249,"68,696",0.02%
Pea Ridge NMP,250,"68,464",0.02%
New Orleans Jazz NHP,251,"66,726",0.02%
Wrangell-St. Elias NP & PRES,252,"65,693",0.02%
Dry Tortugas NP,253,"63,947",0.02%
Tonto NM,254,"63,553",0.02%
Hubbell Trading Post NHS,255,"61,955",0.02%
Kalaupapa NHP,256,"60,934",0.02%
Longfellow NHS,257,"59,827",0.02%
Klondike Gold Rush NHP Seattle,258,"58,389",0.02%
Ninety Six NHS,259,"57,304",0.02%
Florissant Fossil Beds NM,260,"56,988",0.02%
Chiricahua NM,261,"56,557",0.02%
Big Hole NB,262,"54,818",0.02%
Sagamore Hill NHS,263,"53,772",0.02%
Eleanor Roosevelt NHS,264,"53,632",0.02%
Whitman Mission NHS,265,"53,356",0.02%
Dayton Aviation Heritage NHP,266,"53,292",0.02%
Tuskegee Institute NHS,267,"52,027",0.02%
Horseshoe Bend NMP,268,"50,719",0.02%
Tuskegee Airmen NHS,269,"50,331",0.02%
Hopewell Furnace NHS,270,"49,328",0.02%
Fort Davis NHS,271,"49,290",0.02%
Fort Laramie NHS,272,"48,297",0.02%
Pipe Spring NM,273,"47,418",0.02%
Bluestone NSR,274,"46,942",0.02%
Roger Williams NMEM,275,"46,154",0.02%
Buck Island Reef NM,276,"46,025",0.02%
Ulysses S. Grant NHS,277,"45,959",0.02%
Capulin Volcano NM,278,"45,178",0.02%
El Morro NM,279,"45,178",0.02%
Tumacacori NHP,280,"45,079",0.02%
Palo Alto Battlefield NHP,281,"45,026",0.02%
Moores Creek NB,282,"44,820",0.02%
Charles Pinckney NHS,283,"44,072",0.02%
Arkansas Post NMEM,284,"43,137",0.02%
Little Rock Central High School NHS,285,"42,302",0.02%
George Washington Carver NM,286,"40,407",0.01%
Golden Spike NHS,287,"39,968",0.01%
Gila Cliff Dwellings NM,288,"38,987",0.01%
Aztec Ruins NM,289,"38,709",0.01%
Frederick Douglass NHS,290,"37,852",0.01%
Chaco Culture NHP,291,"37,180",0.01%
Marsh-Billings-Rockefeller NHP,292,"37,121",0.01%
Russell Cave NM,293,"36,375",0.01%
Hampton NHS,294,"35,260",0.01%
Pecos NHP,295,"32,701",0.01%
Monocacy NB,296,"31,276",0.01%
Salinas Pueblo Missions NM,297,"31,248",0.01%
Harry S Truman NHS,298,"30,848",0.01%
Friendship Hill NHS,299,"30,623",0.01%
Minuteman Missile NHS,300,"30,615",0.01%
Saint-Gaudens NHS,301,"29,819",0.01%
John Muir NHS,302,"28,770",0.01%
Hopewell Culture NHP,303,"28,130",0.01%
James A. Garfield NHS,304,"27,289",0.01%
Hovenweep NM,305,"25,411",0.01%
Fort Scott NHS,306,"25,322",0.01%
Lake Chelan NRA,307,"25,139",0.01%
Bent's Old Fort NHS,308,"25,001",0.01%
Knife River Indian Villages NHS,309,"24,798",0.01%
Cane River Creole NHP,310,"24,587",0.01%
Hagerman Fossil Beds NM,311,"23,163",0.01%
Women's Rights NHP,312,"23,093",0.01%
Fort Larned NHS,313,"21,483",0.01%
Carl Sandburg Home NHS,314,"21,233",0.01%
Martin Van Buren NHS,315,"21,216",0.01%
Tallgrass Prairie NPRES,316,"20,075",0.01%
Booker T. Washington NM,317,"19,990",0.01%
North Cascades NP,318,"18,725",0.01%
Theodore Roosevelt Birthplace NHS,319,"18,590",0.01%
Weir Farm NHS,320,"18,522",0.01%
Fossil Butte NM,321,"17,727",0.01%
Mary McLeod Bethune Council House NHS,322,"17,635",0.01%
Springfield Armory NHS,323,"17,358",0.01%
William Howard Taft NHS,324,"16,968",0.01%
Brown v. Board of Education NHS,325,"16,950",0.01%
Grant-Kohrs Ranch NHS,326,"16,633",0.01%
Washita Battlefield NHS,327,"14,579",0.01%
Saint Paul's Church NHS,328,"14,538",0.01%
Isle Royale NP,329,"14,038",0.01%
Edgar Allan Poe NHS,330,"12,961",0.00%
Saugus Iron Works NHS,331,"12,433",0.00%
Agate Fossil Beds NM,332,"12,425",0.00%
Fort Union Trading Post NHS,333,"11,533",0.00%
Gates of the Arctic NP & PRES,334,"11,397",0.00%
Fort Bowie NHS,335,"10,095",0.00%
John F. Kennedy NHS,336,"10,090",0.00%
First Ladies NHS,337,"9,770",0.00%
Fort Union NM,338,"9,171",0.00%
Clara Barton NHS,339,"9,007",0.00%
Thomas Edison NHP,340,"8,027",0.00%
Katmai NP & PRES,341,"7,970",0.00%
Maggie L. Walker NHS,342,"7,367",0.00%
Lake Clark NP & PRES,343,"6,802",0.00%
Thomas Stone NHS,344,"5,720",0.00%
Yukon-Charley Rivers NPRES,345,"4,942",0.00%
Thaddeus Kosciuszko NMEM,346,"3,918",0.00%
National Park of American Samoa,347,"3,683",0.00%
Frederick Law Olmsted NHS,348,"2,969",0.00%
Eugene O'Neill NHS,349,"2,544",0.00%
Nicodemus NHS,350,"2,434",0.00%
Alibates Flint Quarries NM,351,"2,297",0.00%
Salt River Bay NHP & Ecological Pres,352,"2,184",0.00%
Noatak NPRES,353,"2,147",0.00%
Rio Grande W&SR,354,"1,606",0.00%
Cape Krusenstern NM,355,"1,575",0.00%
Kobuk Valley NP,356,"1,565",0.00%
Bering Land Bridge NPRES,357,"1,019",0.00%
Theodore Roosevelt Inaugural NHS,358,834,0.00%
Hamilton Grange NMEM,359,690,0.00%
Aniakchak NM & PRES,360,10,0.00%
