Title,ParkType,Bookmark,
Annual Park Ranking Report for Recreation Visits in: 2007,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Glacier Bay NP & PRES,129,"438,211",0.16%
White Sands NM,130,"437,042",0.16%
Canyonlands NP,131,"417,560",0.15%
Carlsbad Caverns NP,132,"409,560",0.15%
Vanderbilt Mansion NHS,133,"398,125",0.14%
Colorado NM,134,"395,260",0.14%
Lassen Volcanic NP,135,"395,057",0.14%
Redwood NP,136,"385,171",0.14%
Shiloh NMP,137,"368,742",0.13%
Big Bend NP,138,"364,856",0.13%
Channel Islands NP,139,"360,806",0.13%
Lincoln Home NHS,140,"358,809",0.13%
Fort Necessity NB,141,"353,296",0.13%
Organ Pipe Cactus NM,142,"341,594",0.12%
Antietam NB,143,"337,569",0.12%
New Bedford Whaling NHP,144,"327,047",0.12%
Fort Washington Park,145,"324,660",0.12%
Devils Tower NM,146,"322,272",0.12%
Fort Raleigh NHS,147,"321,717",0.12%
Fort Pulaski NM,148,"317,349",0.12%
Sitka NHP,149,"304,799",0.11%
Jean Lafitte NHP & PRES,150,"303,373",0.11%
Morristown NHP,151,"296,651",0.11%
Prince William Forest Park,152,"295,853",0.11%
Little Bighorn Battlefield NM,153,"290,744",0.11%
Ross Lake NRA,154,"290,701",0.11%
Great Sand Dunes NP & PRES,155,"285,121",0.10%
Kenai Fjords NP,156,"284,604",0.10%
San Juan Island NHP,157,"273,289",0.10%
Boston African American NHS,158,"265,459",0.10%
Fort Frederica NM,159,"264,586",0.10%
Little River Canyon NPRES,160,"264,189",0.10%
Kings Mountain NMP,161,"262,283",0.10%
De Soto NMEM,162,"260,843",0.09%
Fort Caroline NMEM,163,"250,616",0.09%
Harpers Ferry NHP,164,"249,908",0.09%
Upper Delaware S&RR,165,"248,284",0.09%
Wupatki NM,166,"239,603",0.09%
Lewis & Clark NHP,167,"234,380",0.09%
Fort Donelson NB,168,"233,205",0.08%
Sunset Crater Volcano NM,169,"231,855",0.08%
Dinosaur NM,170,"230,914",0.08%
Pennsylvania Avenue NHS,171,"226,908",0.08%
Nez Perce NHP,172,"225,568",0.08%
Adams NHP,173,"224,880",0.08%
Bandelier NM,174,"224,134",0.08%
Craters of the Moon NM,175,"221,672",0.08%
Voyageurs NP,176,"220,650",0.08%
Black Canyon of the Gunnison NP,177,"219,576",0.08%
Chamizal NMEM,178,"218,195",0.08%
Bighorn Canyon NRA,179,"213,063",0.08%
War in the Pacific NHP,180,"209,661",0.08%
Natchez NHP,181,"207,441",0.08%
Abraham Lincoln Birthplace NHP,182,"202,950",0.07%
Greenbelt Park,183,"198,237",0.07%
Cowpens NB,184,"197,255",0.07%
Stones River NB,185,"196,061",0.07%
Piscataway Park,186,"184,636",0.07%
Obed W&SR,187,"182,504",0.07%
Apostle Islands NL,188,"182,396",0.07%
Guadalupe Mountains NP,189,"165,110",0.06%
Pinnacles NP,190,"161,019",0.06%
Petersburg NB,191,"154,619",0.06%
Andersonville NHS,192,"153,686",0.06%
Appomattox Court House NHP,193,"149,255",0.05%
Missouri NRR,194,"145,767",0.05%
Flight 93 NMEM,195,"143,725",0.05%
Richmond NBP,196,"132,578",0.05%
Lincoln Boyhood NMEM,197,"128,596",0.05%
Federal Hall NMEM,198,"127,432",0.05%
Walnut Canyon NM,199,"126,187",0.05%
Johnstown Flood NMEM,200,"126,066",0.05%
John Day Fossil Beds NM,201,"124,704",0.05%
Allegheny Portage Railroad NHS,202,"123,215",0.04%
Wilson's Creek NB,203,"121,878",0.04%
Devils Postpile NM,204,"120,758",0.04%
Kaloko Honokohau NHP,205,"119,237",0.04%
Herbert Hoover NHS,206,"118,298",0.04%
Gauley River NRA,207,"118,169",0.04%
Congaree NP,208,"115,524",0.04%
Timpanogos Cave NM,209,"114,737",0.04%
George Rogers Clark NHP,210,"114,560",0.04%
Ocmulgee NM,211,"114,379",0.04%
Home of Franklin D. Roosevelt NHS,212,"114,195",0.04%
Petroglyph NM,213,"112,868",0.04%
Scotts Bluff NM,214,"111,890",0.04%
Perry's Victory & Intl. Peace MEM,215,"110,879",0.04%
El Malpais NM,216,"110,639",0.04%
Theodore Roosevelt Island,217,"109,894",0.04%
Tuzigoot NM,218,"107,796",0.04%
Saratoga NHP,219,"106,708",0.04%
Jewel Cave NM,220,"105,321",0.04%
Pu'ukohola Heiau NHS,221,"104,907",0.04%
Lava Beds NM,222,"102,629",0.04%
George Washington Birthplace NM,223,"101,844",0.04%
Christiansted NHS,224,"101,522",0.04%
Big Thicket NPRES,225,"95,285",0.03%
Natural Bridges NM,226,"88,316",0.03%
Effigy Mounds NM,227,"88,268",0.03%
Lyndon B. Johnson NHP,228,"85,818",0.03%
Jimmy Carter NHS,229,"84,501",0.03%
General Grant NMEM,230,"84,171",0.03%
Fort Smith NHS,231,"83,850",0.03%
Katmai NP & PRES,232,"82,634",0.03%
Rainbow Bridge NM,233,"81,607",0.03%
Great Basin NP,234,"81,364",0.03%
Manzanar NHS,235,"81,344",0.03%
Niobrara NSR,236,"79,942",0.03%
City of Rocks NRES,237,"79,533",0.03%
Oregon Caves NM,238,"76,966",0.03%
Casa Grande Ruins NM,239,"76,854",0.03%
Tuskegee Institute NHS,240,"75,450",0.03%
Horseshoe Bend NMP,241,"73,669",0.03%
Cumberland Island NS,242,"72,449",0.03%
Pipestone NM,243,"72,422",0.03%
Coronado NMEM,244,"71,702",0.03%
Steamtown NHS,245,"70,726",0.03%
Homestead NM of America,246,"70,216",0.03%
Eisenhower NHS,247,"69,747",0.03%
Navajo NM,248,"69,445",0.03%
Hubbell Trading Post NHS,249,"69,211",0.03%
Governors Island NM,250,"69,014",0.03%
Grand Portage NM,251,"68,856",0.02%
Pea Ridge NMP,252,"68,840",0.02%
Chaco Culture NHP,253,"68,211",0.02%
Wrangell-St. Elias NP & PRES,254,"61,085",0.02%
Kalaupapa NHP,255,"60,992",0.02%
Dry Tortugas NP,256,"60,895",0.02%
Eleanor Roosevelt NHS,257,"59,846",0.02%
Fort Stanwix NM,258,"59,643",0.02%
Chiricahua NM,259,"58,434",0.02%
Little Rock Central High School NHS,260,"56,938",0.02%
Tonto NM,261,"56,174",0.02%
Hopewell Furnace NHS,262,"56,013",0.02%
Florissant Fossil Beds NM,263,"55,992",0.02%
Big Hole NB,264,"55,415",0.02%
Moores Creek NB,265,"55,039",0.02%
Klondike Gold Rush NHP Seattle,266,"54,971",0.02%
Dayton Aviation Heritage NHP,267,"54,827",0.02%
El Morro NM,268,"51,492",0.02%
Fort Davis NHS,269,"51,435",0.02%
Roger Williams NMEM,270,"49,348",0.02%
Whitman Mission NHS,271,"49,337",0.02%
Longfellow NHS,272,"49,246",0.02%
Capulin Volcano NM,273,"49,182",0.02%
Russell Cave NM,274,"49,164",0.02%
New Orleans Jazz NHP,275,"49,053",0.02%
Bluestone NSR,276,"48,061",0.02%
Pipe Spring NM,277,"46,574",0.02%
Ulysses S. Grant NHS,278,"46,398",0.02%
Buck Island Reef NM,279,"46,303",0.02%
Tumacacori NHP,280,"45,484",0.02%
Golden Spike NHS,281,"45,088",0.02%
Sagamore Hill NHS,282,"43,698",0.02%
Andrew Johnson NHS,283,"43,456",0.02%
Gila Cliff Dwellings NM,284,"41,690",0.02%
Charles Pinckney NHS,285,"41,393",0.02%
Fort Laramie NHS,286,"40,263",0.01%
Aztec Ruins NM,287,"39,538",0.01%
Frederick Douglass NHS,288,"37,468",0.01%
Arkansas Post NMEM,289,"37,230",0.01%
George Washington Carver NM,290,"36,480",0.01%
Lake Chelan NRA,291,"34,665",0.01%
Pecos NHP,292,"34,307",0.01%
Ninety Six NHS,293,"33,595",0.01%
Salinas Pueblo Missions NM,294,"33,060",0.01%
Friendship Hill NHS,295,"32,576",0.01%
Marsh-Billings-Rockefeller NHP,296,"32,179",0.01%
Harry S Truman NHS,297,"31,092",0.01%
John Muir NHS,298,"30,875",0.01%
Cane River Creole NHP,299,"30,584",0.01%
Fort Larned NHS,300,"30,471",0.01%
Hopewell Culture NHP,301,"30,321",0.01%
Hampton NHS,302,"30,062",0.01%
Saint-Gaudens NHS,303,"29,091",0.01%
Carl Sandburg Home NHS,304,"28,820",0.01%
Hovenweep NM,305,"26,263",0.01%
Hagerman Fossil Beds NM,306,"24,779",0.01%
Minuteman Missile NHS,307,"24,566",0.01%
Bent's Old Fort NHS,308,"23,952",0.01%
Tallgrass Prairie NPRES,309,"23,000",0.01%
Knife River Indian Villages NHS,310,"22,558",0.01%
Fort Scott NHS,311,"22,314",0.01%
Monocacy NB,312,"22,125",0.01%
Palo Alto Battlefield NHP,313,"21,676",0.01%
Fossil Butte NM,314,"19,853",0.01%
Martin Van Buren NHS,315,"19,678",0.01%
North Cascades NP,316,"19,534",0.01%
Booker T. Washington NM,317,"19,410",0.01%
James A. Garfield NHS,318,"19,196",0.01%
Women's Rights NHP,319,"18,657",0.01%
Brown v. Board of Education NHS,320,"17,536",0.01%
Grant-Kohrs Ranch NHS,321,"17,494",0.01%
William Howard Taft NHS,322,"17,365",0.01%
Mary McLeod Bethune Council House NHS,323,"17,324",0.01%
Isle Royale NP,324,"15,973",0.01%
Saint Paul's Church NHS,325,"14,909",0.01%
Tuskegee Airmen NHS,326,"14,685",0.01%
Edgar Allan Poe NHS,327,"14,258",0.01%
Theodore Roosevelt Inaugural NHS,328,"14,147",0.01%
Washita Battlefield NHS,329,"13,928",0.01%
Springfield Armory NHS,330,"13,548",0.00%
Theodore Roosevelt Birthplace NHS,331,"13,098",0.00%
Agate Fossil Beds NM,332,"12,997",0.00%
Weir Farm NHS,333,"12,536",0.00%
Fort Union Trading Post NHS,334,"12,405",0.00%
Yukon-Charley Rivers NPRES,335,"11,567",0.00%
Gates of the Arctic NP & PRES,336,"10,942",0.00%
First Ladies NHS,337,"10,881",0.00%
Fort Union NM,338,"10,534",0.00%
Clara Barton NHS,339,"10,106",0.00%
Fort Bowie NHS,340,"10,027",0.00%
Thomas Edison NHP,341,"9,342",0.00%
John F. Kennedy NHS,342,"8,896",0.00%
Maggie L. Walker NHS,343,"8,026",0.00%
National Park of American Samoa,344,"6,774",0.00%
Lake Clark NP & PRES,345,"5,549",0.00%
Thomas Stone NHS,346,"4,886",0.00%
Thaddeus Kosciuszko NMEM,347,"4,633",0.00%
Saugus Iron Works NHS,348,"4,377",0.00%
Alibates Flint Quarries NM,349,"4,028",0.00%
Nicodemus NHS,350,"2,507",0.00%
Eugene O'Neill NHS,351,"2,339",0.00%
Frederick Law Olmsted NHS,352,"2,010",0.00%
Rio Grande W&SR,353,"1,660",0.00%
Salt River Bay NHP & Ecological Pres,354,"1,455",0.00%
Noatak NPRES,355,"1,384",0.00%
Kobuk Valley NP,356,847,0.00%
Bering Land Bridge NPRES,357,796,0.00%
Cape Krusenstern NM,358,745,0.00%
Aniakchak NM & PRES,359,26,0.00%
